Gene,log2FoldChange,pvalue,padj,logpvalue,significance
NOD1,-0.5152,0.01707,0.6753,1.767766479,Not Significant
GLI3,-0.8242,0.01696,0.6753,1.770574152,Not Significant
WBSCR27,-0.9343,0.01718,0.6753,1.764976841,Not Significant
C7orf34,0.9318,0.01721,0.6753,1.76421913,Not Significant
FRRS1,-0.8998,0.01774,0.676,1.751046385,Not Significant
FAM19A3,-0.8923,0.01788,0.676,1.747632486,Not Significant
CNIH3,-0.4817,0.01784,0.676,1.74860515,Not Significant
MDK,-0.7156,0.01749,0.676,1.757210191,Not Significant
GXYLT1,-0.6944,0.01783,0.676,1.748848657,Not Significant
CTDSP2,-0.5123,0.01765,0.676,1.75325529,Not Significant
SIX4,-0.8657,0.01784,0.676,1.74860515,Not Significant
SLCO3A1,0.4415,0.01784,0.676,1.74860515,Not Significant
PTBP1,-0.4376,0.0178,0.676,1.749579998,Not Significant
ZNF324,0.3139,0.01754,0.676,1.755970411,Not Significant
COLEC11,-0.9194,0.01776,0.676,1.750557039,Not Significant
APOBEC3B,-0.9292,0.01771,0.676,1.751781439,Not Significant
MAGEF1,0.3826,0.01768,0.676,1.752517739,Not Significant
SHROOM2,0.5668,0.01763,0.676,1.753747688,Not Significant
KIAA1217,-0.7442,0.01871,0.69,1.727926212,Not Significant
ST8SIA1,0.3806,0.01869,0.69,1.728390699,Not Significant
LOC338758,0.6997,0.01834,0.69,1.736600669,Not Significant
LOC283731,-0.4064,0.01872,0.69,1.727694156,Not Significant
LYSMD4,0.4181,0.01859,0.69,1.73072061,Not Significant
CYP1B1,-0.9248,0.01834,0.69,1.736600669,Not Significant
PDGFRB,-0.9184,0.01853,0.69,1.732124581,Not Significant
FKBP5,-0.7347,0.01841,0.69,1.734946211,Not Significant
AGBL3,0.5843,0.01861,0.69,1.730253627,Not Significant
MNX1,0.921,0.01864,0.69,1.729554092,Not Significant
PHKA2,-0.4551,0.01855,0.69,1.731656086,Not Significant
CCBL2,-0.3365,0.01892,0.6925,1.723078868,Not Significant
CLIC5,-0.9123,0.01883,0.6925,1.72514968,Not Significant
WDR67,-0.3832,0.01887,0.6925,1.7242281,Not Significant
SLC38A5,-0.7194,0.01895,0.6925,1.722390786,Not Significant
KLF4,-0.8767,0.01907,0.6951,1.719649307,Not Significant
HSD17B11,-0.6032,0.0192,0.6985,1.716698771,Not Significant
SLC2A3,-0.5111,0.0193,0.7005,1.714442691,Not Significant
CSDAP1,-0.7114,0.01946,0.7046,1.710857164,Not Significant
SBNO2,-0.3452,0.01955,0.7064,1.708853238,Not Significant
LRRC4C,0.5704,0.01962,0.7074,1.707300997,Not Significant
ATL3,-0.5278,0.01975,0.7074,1.7044329,Not Significant
C1S,-0.9056,0.01966,0.7074,1.706416487,Not Significant
PLAUR,-0.8162,0.01974,0.7074,1.704652852,Not Significant
LOC256021,0.6774,0.01988,0.709,1.70158362,Not Significant
EID2B,0.4332,0.01987,0.709,1.701802133,Not Significant
MTA3,-0.4227,0.02009,0.7151,1.697020063,Not Significant
BSG,-0.2869,0.02023,0.7167,1.694004117,Not Significant
LAMP2,-0.2974,0.02022,0.7167,1.694218849,Not Significant
ATHL1,-0.9069,0.02033,0.7179,1.691862621,Not Significant
AHNAK,-0.7987,0.02044,0.7179,1.689519109,Not Significant
IGFBP5,-0.9055,0.02035,0.7179,1.691435586,Not Significant
MBOAT1,-0.7067,0.02044,0.7179,1.689519109,Not Significant
EGFR,-0.6912,0.02048,0.7179,1.688670048,Not Significant
FRAT1,0.4904,0.02073,0.7201,1.683400698,Not Significant
TBX10,-0.9015,0.02084,0.7201,1.681102285,Not Significant
KCNA6,0.4245,0.02068,0.7201,1.684449466,Not Significant
MATN3,-0.8883,0.02079,0.7201,1.682145511,Not Significant
LTBP1,-0.8212,0.02081,0.7201,1.68172792,Not Significant
SCARF2,-0.7426,0.02064,0.7201,1.685290307,Not Significant
BAI3,0.3512,0.02085,0.7201,1.680893941,Not Significant
LOC654433,0.828,0.02096,0.7226,1.678608722,Not Significant
GTSE1,-0.5797,0.02106,0.7229,1.676541633,Not Significant
SCRG1,-0.9048,0.02106,0.7229,1.676541633,Not Significant
AHCY,-0.5073,0.02111,0.7231,1.675511767,Not Significant
LRRTM3,0.609,0.02122,0.7239,1.67325462,Not Significant
MYO1C,-0.7078,0.02121,0.7239,1.673459331,Not Significant
AKR1E2,0.7441,0.02134,0.7264,1.670805585,Not Significant
PCDHGB4,-0.8844,0.02142,0.7277,1.669180534,Not Significant
P2RX4,-0.3807,0.02159,0.7309,1.665747358,Not Significant
LINC00574,0.7267,0.02161,0.7309,1.665345233,Not Significant
BPI,-0.8613,0.02171,0.7313,1.663340177,Not Significant
ATP2B2,0.751,0.02167,0.7313,1.664141089,Not Significant
CDCA2,-0.6352,0.0218,0.7328,1.661543506,Not Significant
FGF8,-0.8835,0.02191,0.7338,1.659357622,Not Significant
FAM198A,-0.8977,0.02192,0.7338,1.65915945,Not Significant
FMO2,-0.8029,0.0222,0.7401,1.653647026,Not Significant
LOC642852,0.5471,0.02215,0.7401,1.654626269,Not Significant
IGF2R,-0.5322,0.02227,0.741,1.652279783,Not Significant
TIGD3,0.6643,0.02236,0.7426,1.650528201,Not Significant
GFPT2,-0.6006,0.02241,0.7429,1.649558143,Not Significant
BCAS2,0.3073,0.02266,0.7431,1.644740094,Not Significant
IQGAP3,-0.7145,0.02274,0.7431,1.64320954,Not Significant
ZDHHC20,-0.3828,0.02266,0.7431,1.644740094,Not Significant
ARID4A,0.2039,0.02278,0.7431,1.64244628,Not Significant
SPHK1,-0.8455,0.02253,0.7431,1.647238808,Not Significant
FAM110C,-0.7952,0.02259,0.7431,1.646083769,Not Significant
PXDN,-0.7352,0.02275,0.7431,1.643018599,Not Significant
THSD7B,-0.5467,0.02268,0.7431,1.64435695,Not Significant
PRUNE,0.2438,0.02292,0.7459,1.639785387,Not Significant
ECE1,-0.7102,0.02311,0.7477,1.636200055,Not Significant
CECR7,0.8781,0.02308,0.7477,1.636764196,Not Significant
HTRA3,-0.8843,0.02303,0.7477,1.637706062,Not Significant
WDR47,0.4054,0.0234,0.7537,1.630784143,Not Significant
SLITRK5,0.4093,0.02345,0.7537,1.629857153,Not Significant
AURKB,-0.6811,0.02349,0.7537,1.629116983,Not Significant
IGFBP4,-0.8858,0.02352,0.7537,1.628562683,Not Significant
CDC25C,-0.6363,0.02348,0.7537,1.629301907,Not Significant
GPM6A,0.649,0.02357,0.7538,1.627640417,Not Significant
BTBD19,-0.7584,0.02376,0.755,1.624153564,Not Significant
GPR26,0.7615,0.02388,0.755,1.621965678,Not Significant
SIAH3,0.7351,0.02393,0.755,1.621057301,Not Significant
PLCB2,-0.8363,0.02385,0.755,1.622511617,Not Significant
DNM1P35,0.6404,0.02389,0.755,1.62178385,Not Significant
RRBP1,-0.8115,0.0238,0.755,1.623423043,Not Significant
ACOT8,0.3293,0.02375,0.755,1.624336386,Not Significant
OLFML2B,-0.8708,0.02414,0.7572,1.617262734,Not Significant
TROAP,-0.7143,0.02411,0.7572,1.61780279,Not Significant
WIPI1,-0.6362,0.02411,0.7572,1.61780279,Not Significant
VOPP1,0.2574,0.02422,0.7584,1.615825861,Not Significant
HES1,-0.5633,0.02436,0.7611,1.613322716,Not Significant
FIBIN,-0.8826,0.02444,0.7624,1.611898798,Not Significant
KDELC2,-0.8298,0.02449,0.7625,1.611011215,Not Significant
ERRFI1,-0.5181,0.02486,0.767,1.604498876,Not Significant
ZNF26,0.2525,0.0249,0.767,1.603800653,Not Significant
RAB20,-0.7225,0.02495,0.767,1.60292945,Not Significant
CEP112,-0.5528,0.02496,0.767,1.602755419,Not Significant
PDYN,0.8461,0.02487,0.767,1.604324215,Not Significant
SEL1L3,-0.794,0.0249,0.767,1.603800653,Not Significant
CENPE,-0.581,0.02474,0.767,1.606600305,Not Significant
LOC100505695,-0.8418,0.02506,0.7684,1.601018933,Not Significant
ST3GAL6,0.3335,0.02515,0.7698,1.599462011,Not Significant
PPPDE1,-0.3884,0.02552,0.7705,1.59311933,Not Significant
CYFIP1,-0.4708,0.02549,0.7705,1.593630165,Not Significant
SPAG5,-0.6341,0.02525,0.7705,1.597738618,Not Significant
FSTL3,-0.3936,0.02544,0.7705,1.594482893,Not Significant
DKKL1,-0.5961,0.02555,0.7705,1.592609096,Not Significant
PLA2R1,-0.8383,0.02533,0.7705,1.59636481,Not Significant
SH3RF2,-0.8594,0.02543,0.7705,1.59465364,Not Significant
NEDD9,-0.5615,0.02537,0.7705,1.595679533,Not Significant
LOC400940,0.7406,0.02573,0.7737,1.589560214,Not Significant
NPR2,-0.6064,0.02575,0.7737,1.589222767,Not Significant
CKS1B,-0.6537,0.02617,0.778,1.582196277,Not Significant
RNASEL,0.8586,0.02631,0.778,1.579879152,Not Significant
KIAA1462,-0.8624,0.02641,0.778,1.578231599,Not Significant
C10orf2,0.3805,0.02618,0.778,1.582030358,Not Significant
PRKCDBP,-0.8186,0.02624,0.778,1.581036169,Not Significant
ZNF564,0.3025,0.02598,0.778,1.585360853,Not Significant
LOC100506421,0.6526,0.02601,0.778,1.584859648,Not Significant
SNED1,-0.8004,0.02611,0.778,1.583193128,Not Significant
SGMS2,-0.8683,0.02638,0.778,1.578725209,Not Significant
TMEM151B,0.4716,0.02635,0.778,1.57921938,Not Significant
LOC100507341,0.6623,0.02622,0.778,1.581367313,Not Significant
KIF2C,-0.6374,0.02666,0.7837,1.574139855,Not Significant
PRX,-0.6445,0.02676,0.7854,1.572513891,Not Significant
LOXL4,-0.8597,0.02686,0.7864,1.570893992,Not Significant
STXBP6,0.6668,0.02689,0.7864,1.570409198,Not Significant
FAM13A,-0.4611,0.02712,0.7917,1.566710315,Not Significant
IFITM10,0.6685,0.02744,0.7925,1.561615893,Not Significant
CBFB,-0.3576,0.02735,0.7925,1.563042669,Not Significant
DKFZp566F0947,-0.8205,0.02736,0.7925,1.562883907,Not Significant
MAGI2,0.4314,0.02741,0.7925,1.562090964,Not Significant
NIPAL2,-0.7441,0.0274,0.7925,1.562249437,Not Significant
GPRASP2,0.4453,0.02732,0.7925,1.563519305,Not Significant
DPH3P1,-0.5664,0.02774,0.7999,1.556893543,Not Significant
C1orf54,-0.5484,0.02801,0.8025,1.552686891,Not Significant
LIG4,0.3168,0.02811,0.8025,1.551139154,Not Significant
GREM1,-0.8574,0.02807,0.8025,1.551757587,Not Significant
TPM4,-0.6659,0.028,0.8025,1.552841969,Not Significant
OSBPL10,-0.7943,0.02789,0.8025,1.554551486,Not Significant
HPS3,-0.3542,0.02812,0.8025,1.550984684,Not Significant
ANP32B,-0.4906,0.02825,0.8047,1.548981548,Not Significant
FAM176B,-0.6818,0.02966,0.8067,1.527828853,Not Significant
HPCAL4,0.5034,0.02927,0.8067,1.533577278,Not Significant
LEPRE1,-0.7027,0.03137,0.8067,1.503485481,Not Significant
MCOLN3,-0.7816,0.02861,0.8067,1.543482142,Not Significant
GBP3,-0.8426,0.03082,0.8067,1.511167366,Not Significant
SELENBP1,-0.7428,0.03013,0.8067,1.521000868,Not Significant
LMNA,-0.499,0.03161,0.8067,1.500175504,Not Significant
KCNJ9,0.7358,0.02904,0.8067,1.537003388,Not Significant
CENPL,-0.3831,0.02874,0.8067,1.541513236,Not Significant
KIF14,-0.6281,0.0329,0.8067,1.482804102,Not Significant
EIF2D,-0.4348,0.02953,0.8067,1.529736553,Not Significant
CAPN2,-0.3726,0.02973,0.8067,1.526805091,Not Significant
RGR,0.8449,0.03118,0.8067,1.506123889,Not Significant
EFCAB4A,-0.6655,0.03031,0.8067,1.518414064,Not Significant
TPP1,-0.3513,0.03121,0.8067,1.505706231,Not Significant
MICAL2,-0.85,0.02966,0.8067,1.527828853,Not Significant
C11orf94,0.8245,0.03271,0.8067,1.485319456,Not Significant
NADSYN1,-0.3401,0.03253,0.8067,1.487715937,Not Significant
FOXM1,-0.5518,0.02937,0.8067,1.532096053,Not Significant
SLC38A1,0.3146,0.03036,0.8067,1.517698233,Not Significant
ANKS1B,0.6226,0.03231,0.8067,1.490663042,Not Significant
GJB6,-0.7271,0.03074,0.8067,1.512296137,Not Significant
ANG,-0.7201,0.02984,0.8067,1.525201181,Not Significant
DLGAP5,-0.6065,0.03271,0.8067,1.485319456,Not Significant
FAM161B,0.3957,0.02968,0.8067,1.527536103,Not Significant
SERPINA5,-0.831,0.03008,0.8067,1.521722168,Not Significant
RASGRP1,-0.4108,0.02946,0.8067,1.530767257,Not Significant
THBS1,-0.85,0.0302,0.8067,1.519993057,Not Significant
ST8SIA2,0.4492,0.03147,0.8067,1.502103257,Not Significant
RPS2,-0.4238,0.03074,0.8067,1.512296137,Not Significant
ITPRIPL2,-0.854,0.02869,0.8067,1.542269452,Not Significant
NFATC3,-0.4057,0.02928,0.8067,1.533428928,Not Significant
PLD2,-0.669,0.03252,0.8067,1.487849463,Not Significant
SMCR7,0.3445,0.02996,0.8067,1.523458191,Not Significant
SMARCD2,-0.6611,0.03159,0.8067,1.500450374,Not Significant
TUBB6,-0.7194,0.0311,0.8067,1.507239611,Not Significant
DSG2,-0.6812,0.03226,0.8067,1.491335637,Not Significant
ACAA2,-0.446,0.0318,0.8067,1.49757288,Not Significant
GADD45B,-0.8334,0.0328,0.8067,1.484126156,Not Significant
CELF5,0.4393,0.03193,0.8067,1.495801081,Not Significant
TMEM221,-0.7671,0.03202,0.8067,1.494578672,Not Significant
WDR62,-0.5769,0.02965,0.8067,1.527975302,Not Significant
ZNF570,0.2708,0.02949,0.8067,1.530325227,Not Significant
SPRED3,0.6054,0.03154,0.8067,1.501138311,Not Significant
RPL13A,-0.6422,0.03157,0.8067,1.500725418,Not Significant
BCL2L12,-0.4817,0.02883,0.8067,1.540155358,Not Significant
CENPA,-0.6156,0.03213,0.8067,1.493089274,Not Significant
MTHFD2,-0.7685,0.03077,0.8067,1.511872504,Not Significant
FAM176A,-0.8313,0.03045,0.8067,1.516412703,Not Significant
GCFC2,-0.344,0.02982,0.8067,1.525492361,Not Significant
CAPG,-0.8383,0.0296,0.8067,1.528708289,Not Significant
EDAR,-0.846,0.03099,0.8067,1.508778424,Not Significant
BUB1,-0.5945,0.02946,0.8067,1.530767257,Not Significant
ZRANB3,-0.5034,0.03047,0.8067,1.516127546,Not Significant
SLC4A10,0.725,0.03287,0.8067,1.483200296,Not Significant
WIPF1,-0.555,0.02846,0.8067,1.545765104,Not Significant
CCDC141,-0.8347,0.02951,0.8067,1.530030791,Not Significant
CCDC150,-0.5535,0.03183,0.8067,1.497163361,Not Significant
ASXL1,-0.4027,0.03086,0.8067,1.510604078,Not Significant
SS18L1,0.3675,0.03085,0.8067,1.510744832,Not Significant
C22orf29,0.2474,0.03243,0.8067,1.489053051,Not Significant
SMCR7L,0.1929,0.03016,0.8067,1.520568663,Not Significant
GRIP2,0.8047,0.03072,0.8067,1.512578789,Not Significant
GPR62,0.808,0.03283,0.8067,1.483729117,Not Significant
MITF,-0.7604,0.03019,0.8067,1.520136887,Not Significant
FDCSP,-0.8326,0.03137,0.8067,1.503485481,Not Significant
ANXA2P1,-0.6149,0.0322,0.8067,1.492144128,Not Significant
LHFPL2,-0.7202,0.03111,0.8067,1.507099989,Not Significant
ERAP1,-0.4938,0.03164,0.8067,1.499763525,Not Significant
MXD3,-0.6781,0.02998,0.8067,1.523168371,Not Significant
TEAD3,-0.7435,0.02893,0.8067,1.538651566,Not Significant
SP4,0.3326,0.03284,0.8067,1.483596852,Not Significant
TRIL,-0.7788,0.0308,0.8067,1.511449283,Not Significant
STK17A,-0.3401,0.02899,0.8067,1.537751785,Not Significant
RARRES2,-0.844,0.02997,0.8067,1.523313257,Not Significant
CHMP7,0.283,0.03105,0.8067,1.507938395,Not Significant
ZNF703,-0.6856,0.03162,0.8067,1.500038134,Not Significant
ST18,0.5283,0.03123,0.8067,1.505428016,Not Significant
LOC100132891,-0.7824,0.03111,0.8067,1.507099989,Not Significant
C8orf84,-0.7652,0.03183,0.8067,1.497163361,Not Significant
ZFHX4,0.4288,0.03044,0.8067,1.516555352,Not Significant
GDF6,-0.8041,0.03241,0.8067,1.489320969,Not Significant
RANBP6,0.3012,0.03171,0.8067,1.498803758,Not Significant
FAM189A2,-0.8114,0.0328,0.8067,1.484126156,Not Significant
TNC,-0.8197,0.03225,0.8067,1.491470281,Not Significant
ZBTB6,0.3295,0.02968,0.8067,1.527536103,Not Significant
RPL12,-0.5342,0.02943,0.8067,1.531209738,Not Significant
GBGT1,-0.8343,0.03067,0.8067,1.513286224,Not Significant
ARHGAP6,-0.8167,0.03244,0.8067,1.488919154,Not Significant
SHROOM4,-0.645,0.03263,0.8067,1.486382926,Not Significant
HDX,0.4208,0.03269,0.8067,1.485585079,Not Significant
COL4A5,-0.7708,0.03259,0.8067,1.48691564,Not Significant
GAB3,-0.7788,0.03107,0.8067,1.507658747,Not Significant
B3GALNT2,-0.5213,0.03322,0.809,1.478600372,Not Significant
ZNF142,0.2381,0.03314,0.809,1.479647496,Not Significant
HEXB,-0.4081,0.03323,0.809,1.478469659,Not Significant
PPP1R3G,-0.8344,0.03314,0.809,1.479647496,Not Significant
MDFIC,-0.6575,0.03324,0.809,1.478338985,Not Significant
RXFP3,0.832,0.03336,0.8098,1.476773958,Not Significant
PTTG3P,-0.6051,0.03333,0.8098,1.477164686,Not Significant
C1orf133,-0.7152,0.03375,0.8176,1.471726223,Not Significant
TP53I13,-0.422,0.03379,0.8176,1.471211808,Not Significant
SLC44A3,-0.7081,0.03438,0.8264,1.463694128,Not Significant
C1orf115,-0.6315,0.03446,0.8264,1.462684727,Not Significant
ANO4,-0.7486,0.03437,0.8264,1.463820468,Not Significant
FNIP2,0.2913,0.03444,0.8264,1.462936857,Not Significant
CRHBP,-0.8231,0.03437,0.8264,1.463820468,Not Significant
KIAA0368,-0.3228,0.0344,0.8264,1.463441557,Not Significant
PLCE1,-0.7467,0.03491,0.8277,1.457050151,Not Significant
PARPBP,-0.5436,0.0348,0.8277,1.458420756,Not Significant
FRMD6,-0.7527,0.03488,0.8277,1.457423524,Not Significant
LIN7B,0.5171,0.03464,0.8277,1.460422117,Not Significant
COL4A3BP,-0.5851,0.03462,0.8277,1.460672936,Not Significant
SCML4,0.7487,0.03473,0.8277,1.459295217,Not Significant
ZNF815,0.3814,0.03489,0.8277,1.457299031,Not Significant
DIRAS2,0.4271,0.03474,0.8277,1.459170186,Not Significant
SULT1A1,-0.7929,0.03504,0.8292,1.455435903,Not Significant
ADAMTS9-AS2,-0.7074,0.03508,0.8292,1.454940415,Not Significant
CHTOP,0.2474,0.03521,0.8311,1.453333975,Not Significant
DKK2,-0.8042,0.03534,0.8331,1.451733455,Not Significant
HIST1H1D,-0.8219,0.03541,0.8335,1.450874073,Not Significant
CDK1,-0.5524,0.03609,0.8345,1.442613118,Not Significant
SHISA2,-0.8216,0.03606,0.8345,1.442974278,Not Significant
GJD2,0.6358,0.03608,0.8345,1.442733471,Not Significant
CCNB2,-0.6054,0.0358,0.8345,1.446116973,Not Significant
OMG,0.805,0.03565,0.8345,1.447940466,Not Significant
MYL4,-0.7755,0.03625,0.8345,1.440691989,Not Significant
LOC100131096,-0.7581,0.03632,0.8345,1.43985416,Not Significant
HSPB6,-0.8208,0.03557,0.8345,1.448916135,Not Significant
STEAP3,-0.5503,0.0359,0.8345,1.444905551,Not Significant
OSGEPL1,0.2775,0.03631,0.8345,1.439973751,Not Significant
APOL4,-0.8187,0.03588,0.8345,1.445147566,Not Significant
BAP1,0.1786,0.03614,0.8345,1.442011852,Not Significant
PHLDB2,-0.8077,0.03626,0.8345,1.4405722,Not Significant
NAP1L5,0.4839,0.03554,0.8345,1.449282577,Not Significant
CFI,-0.7104,0.0361,0.8345,1.442492798,Not Significant
SORBS3,-0.6631,0.03587,0.8345,1.445268623,Not Significant
TOP1MT,-0.4407,0.03585,0.8345,1.44551084,Not Significant
OPLAH,-0.4763,0.03653,0.8383,1.437350328,Not Significant
ASAP3,-0.2714,0.03787,0.8394,1.421704695,Not Significant
TSG101,0.2283,0.03752,0.8394,1.42573717,Not Significant
CPT1A,-0.3581,0.0378,0.8394,1.4225082,Not Significant
GALNT6,-0.7937,0.03784,0.8394,1.422048872,Not Significant
KCNK10,0.5243,0.03782,0.8394,1.422278475,Not Significant
ISL2,0.8166,0.03724,0.8394,1.428990328,Not Significant
GOLGA6L10,0.8026,0.03693,0.8394,1.432620692,Not Significant
TMEM100,-0.8097,0.03759,0.8394,1.424927674,Not Significant
TBC1D16,0.2885,0.03692,0.8394,1.432738308,Not Significant
JUNB,-0.5495,0.03735,0.8394,1.427709394,Not Significant
ZNF614,0.2666,0.03762,0.8394,1.424581209,Not Significant
ZNF600,-0.742,0.0372,0.8394,1.42945706,Not Significant
TCF7L1,-0.5031,0.03767,0.8394,1.42400438,Not Significant
ACOX2,-0.7993,0.03678,0.8394,1.434388275,Not Significant
FAM107A,0.8057,0.03704,0.8394,1.431329022,Not Significant
FGFBP2,-0.7944,0.03791,0.8394,1.421246216,Not Significant
LOC644100,0.8085,0.03748,0.8394,1.426200418,Not Significant
CPEB4,0.477,0.03704,0.8394,1.431329022,Not Significant
GUCA1A,0.4614,0.03744,0.8394,1.42666416,Not Significant
CALD1,-0.7359,0.03704,0.8394,1.431329022,Not Significant
EPHB6,0.6366,0.03748,0.8394,1.426200418,Not Significant
PENK,-0.8034,0.03669,0.8394,1.435452288,Not Significant
TMEM74,0.5734,0.03704,0.8394,1.431329022,Not Significant
RPS6,-0.5392,0.03785,0.8394,1.421934116,Not Significant
OLFML2A,-0.6171,0.03745,0.8394,1.426548178,Not Significant
PLP2,-0.6977,0.03664,0.8394,1.436044535,Not Significant
VASH1,0.3249,0.03799,0.8399,1.420330706,Not Significant
GRIP1,0.4312,0.03808,0.8408,1.41930306,Not Significant
PDE1A,0.6831,0.03824,0.8421,1.417482116,Not Significant
PKD2,-0.5166,0.03824,0.8421,1.417482116,Not Significant
C14orf39,-0.7682,0.03839,0.8434,1.415781888,Not Significant
SCPEP1,-0.6581,0.0384,0.8434,1.415668776,Not Significant
CTNNA3,-0.8021,0.03904,0.8447,1.408490191,Not Significant
LTBP3,-0.6738,0.03908,0.8447,1.408045445,Not Significant
TRAFD1,0.1378,0.0388,0.8447,1.411168274,Not Significant
HAUS4,-0.5229,0.03918,0.8447,1.406935568,Not Significant
ADSSL1,-0.5,0.03864,0.8447,1.412962882,Not Significant
ZKSCAN2,0.3948,0.03912,0.8447,1.407601154,Not Significant
SLC39A3,0.3176,0.03887,0.8447,1.410385459,Not Significant
NTF4,-0.8096,0.03852,0.8447,1.414313722,Not Significant
MORC2,0.1997,0.03885,0.8447,1.410608977,Not Significant
GNL1,0.262,0.03901,0.8447,1.40882405,Not Significant
ANKS1A,0.4512,0.03879,0.8447,1.41128022,Not Significant
BMP1,-0.4547,0.03914,0.8447,1.407379179,Not Significant
TCEAL8,-0.6073,0.03858,0.8447,1.413637777,Not Significant
MBNL3,-0.7198,0.03893,0.8447,1.409715596,Not Significant
RND1,0.5434,0.0393,0.8462,1.40560745,Not Significant
DNAJC3,-0.3772,0.03952,0.8475,1.403183064,Not Significant
TMEM121,0.7264,0.03957,0.8475,1.40263395,Not Significant
CHEK2,-0.5046,0.03945,0.8475,1.403952992,Not Significant
PALLD,-0.4758,0.03954,0.8475,1.402963335,Not Significant
SPOCD1,-0.7888,0.03989,0.8487,1.399135964,Not Significant
NCDN,0.3799,0.03986,0.8487,1.399462706,Not Significant
CHD1L,-0.3283,0.03979,0.8487,1.400226061,Not Significant
RPP25,0.6103,0.03981,0.8487,1.400007822,Not Significant
IMPA2,-0.5937,0.03978,0.8487,1.400335221,Not Significant
CHRNB2,0.6312,0.04002,0.8493,1.397722916,Not Significant
LAYN,-0.8004,0.04001,0.8493,1.397831449,Not Significant
PKNOX2,0.4366,0.04012,0.8503,1.396639076,Not Significant
ANXA2,-0.6618,0.04034,0.852,1.394264106,Not Significant
VGLL3,-0.7837,0.04032,0.852,1.394479477,Not Significant
RASL11B,-0.7901,0.04035,0.852,1.394156461,Not Significant
